"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Semien, Marcus","543760","2024","580",14.7,9.1,".311",".323",33.8,6.1,34.9,"97.851319132","93.015616553",20.3,49.8
"Tovar, Ezequiel","678662","2024","569",29,3.2,".327",".288",38.7,8.4,40.3,"99.360394813","94.012562735",34.1,62.3
"Arenado, Nolan","571448","2024","520",13.7,6.7,".314",".296",35.5,3.4,29.8,"96.691214706","92.355789926",17.6,46.7
"Martinez, J.D.","502110","2024","416",28.6,10.1,".339",".362",40.2,15,47.2,"101.554374878","95.322451388",31.6,49.1
"Naylor, Josh","647304","2024","522",16.7,9.8,".329",".336",30.1,9,42.3,"101.032714734","94.82471096",23,50.4
"Sheets, Gavin","657757","2024","422",21.6,8.8,".299",".312",40.7,5.5,35.9,"99.052213103","93.649836471",23.6,45
"Springer III, George","543807","2024","521",19,10,".305",".334",29.9,10.1,38.6,"100.265620829","94.254551934",25,49.7
"Turner, Justin","457759","2024","433",17.8,10.4,".311",".323",38.3,3.7,31.7,"96.392133267","92.247247533",16.8,45.6
"Castellanos, Nick","592206","2024","545",20.7,5.9,".312",".324",35.9,7.9,37.9,"99.306857908","93.75113273",30.1,58.8
"Burger, Jake","669394","2024","459",26.4,6.1,".332",".342",31.1,13.2,47.4,"103.839284172","96.319120963",30,51.7
"Bregman, Alex","608324","2024","541",13.5,6.8,".328",".322",34.2,6.3,41.7,"99.030436028","93.73314192",12.9,45
"Bellinger, Cody","641355","2024","451",15.3,7.8,".322",".296",34,5.5,32,"97.279814419","92.728511948",22.2,49.8
"Nimmo, Brandon","607043","2024","542",24.5,12.5,".331",".343",35.5,9.7,47,"101.473954061","95.273764347",24,44.3
"Garcia, Maikel","672580","2024","545",15.4,6.4,".277",".311",35,4.2,43.7,"100.333514714","94.585231623",15.1,43.3
"Devers, Rafael","646240","2024","517",23.8,11.2,".389",".380",35.9,14.1,53.6,"104.925618855","97.347294669",29.5,51
"Vaughn, Andrew","683734","2024","501",22.2,6.4,".306",".329",37.1,9.9,43.3,"100.947491638","94.741526374",22.8,48.6
"Duran, Jarren","680776","2024","603",22.1,8,".375",".348",33.7,10,45.5,"102.219316262","95.532314782",24.6,47.1
"Santana, Carlos","467793","2024","483",17.4,10.4,".327",".325",31.8,7,38.5,"99.241475174","93.852516006",23.3,42.9
"Winn, Masyn","691026","2024","512",16.2,6.8,".327",".304",34.6,3.3,30.8,"97.606030674","92.803681269",18.4,48
"Diaz, Yainer","673237","2024","502",16.1,3.8,".333",".346",34,8.3,47.3,"101.3243983","95.02409055",22.3,58
"O'Hoppe, Logan","681351","2024","438",28.3,5.9,".313",".342",41.1,11.8,46.4,"101.2168985","95.062407527",31.7,52.2
"McCutchen, Andrew","457705","2024","437",26.1,11.7,".327",".340",33.2,12.1,37.7,"99.744797368","94.015092642",29.1,41.8
"Varsho, Daulton","662139","2024","467",25.5,9.4,".310",".265",29,5.7,34,"98.572649795","93.316811203",26.1,47.1
"De La Cruz, Elly","682829","2024","565",30.1,10.1,".358",".336",35.8,13,45.8,"103.064793742","95.977517699",32.3,43
"Santander, Anthony","623993","2024","543",19.5,7.9,".347",".332",35.9,12.1,42.1,"100.299962228","94.326933497",19.4,49.5
"Soto, Juan","665742","2024","592",15.5,18.4,".430",".471",36,20.1,56.2,"105.391448177","97.860489765",22,37.4
"Alonso, Pete","624413","2024","569",23.6,10,".343",".346",31.9,12.2,44.9,"102.537022108","95.514798726",24.1,42.9
"Neto, Zach","687263","2024","492",22.6,6.5,".334",".326",29.3,8.9,37.9,"100.144397515","94.245990818",26.7,49.3
"Hernández, Teoscar","606192","2024","547",28.3,7.9,".348",".342",33.2,14.3,47.2,"102.734687151","95.745193499",33.5,51.4
"Rodríguez, Julio","677594","2024","473",27.1,6.1,".293",".332",32.9,9.7,46.5,"103.313680774","96.061750871",31.5,53.9
"Henderson, Gunnar","683002","2024","592",22.3,11.1,".388",".383",34,11.9,54.4,"104.023982474","96.897725452",24.2,44.1
"Raleigh, Cal","663728","2024","498",29.7,11,".316",".345",37.2,16.2,50,"102.278318552","95.730307439",29.6,52
"Carroll, Corbin","682998","2024","548",18.2,10.2,".310",".317",26,5.7,39,"100.665628474","94.5000919",20,41.6
"Guerrero Jr., Vladimir","665489","2024","578",14,10.6,".404",".412",34.8,14.2,56,"106.020850419","97.911475548",22.4,47.7
"Hoskins, Rhys","656555","2024","417",27.1,9.6,".312",".303",28.4,12.5,40.6,"99.351062344","93.773555313",25.8,43.4
"Stott, Bryson","681082","2024","467",15.8,9.4,".295",".311",36.1,4,30.9,"97.243401628","92.691613994",16.8,43.6
"Schanuel, Nolan","694384","2024","505",16.8,11.3,".321",".328",36.7,4,25.7,"95.417650747","91.721753948",14.5,41.5
"Altuve, Jose","514888","2024","568",18,6.7,".345",".319",36.2,6.9,30.5,"97.217941546","92.629414794",22.4,52
"Kim, Ha-Seong","673490","2024","470",16.4,12.3,".308",".316",36.6,4.8,35.4,"98.621780994","93.412597329",15.9,38
"Rodgers, Brendan","663898","2024","456",23,5.5,".312",".298",32,5,44.4,"101.161584563","94.769620688",24.8,50
"Chourio, Jackson","694192","2024","444",20.7,5.9,".328",".331",33.1,6.8,45.5,"100.785083625","94.804277806",26.3,49.7
"Olson, Matt","621566","2024","557",26.6,9.3,".321",".331",35.5,12,46.4,"102.779046358","95.865522717",27.1,50.1
"Profar, Jurickson","595777","2024","551",14.7,10.9,".372",".367",32,7.6,43.1,"100.815860206","94.755896778",17,45.3
"Candelario, Jeimer","600869","2024","463",24.6,5.8,".303",".284",33.9,8.2,34.5,"97.855535823","92.968221397",29.1,51.7
"Díaz, Yandy","650490","2024","533",15.2,7.3,".320",".329",28.5,7.3,49.8,"103.330129902","96.260351838",13.8,44.2
"Lindor, Francisco","596019","2024","603",17.9,8,".356",".379",35.8,13.3,47.5,"101.084564608","95.09745023",22.8,48.6
"Schwarber, Kyle","656941","2024","563",28.1,16.2,".360",".369",30.4,13.6,54.7,"104.980331613","97.401104563",32,38.4
"Machado, Manny","592518","2024","524",18.9,7.3,".334",".338",34.5,10.6,48.4,"103.101623229","96.015459765",23.2,51.2
"Langeliers, Shea","669127","2024","432",27.3,7.6,".308",".327",33.7,13.4,42.4,"101.798504275","95.217760145",29.6,49.5
"Donovan, Brendan","680977","2024","536",12.1,7.1,".319",".330",35.2,5,36.4,"98.298188173","93.267505865",14.6,43.9
"France, Ty","664034","2024","419",23.4,7.4,".300",".312",32.5,7.9,39,"99.52792554","93.928459856",24,48.9
"DeJong, Paul","657557","2024","427",30.9,4.9,".321",".307",37.4,10.6,42.3,"100.198482331","94.315864038",34,57.8
"Volpe, Anthony","683011","2024","587",22.1,6.1,".300",".280",33.2,4.1,37,"98.43648299","93.383859091",23.1,48.6
"Frelick, Sal","686217","2024","440",15.5,8.4,".303",".284",29.3,0.9,19.5,"94.3735855","91.245471191",12.6,40.2
"Rafaela, Ceddanne","678882","2024","489",24.7,3.1,".299",".283",34.6,6.6,37.2,"98.141416512","93.144088222",31.3,61.2
"Abrams, CJ","682928","2024","542",21,6.8,".323",".323",33.5,6.9,39.9,"99.446857754","93.881019465",24.8,53.6
"Thomas, Lane","657041","2024","427",24.8,9.4,".298",".311",32.4,6.2,40.7,"100.176763841","94.294845055",22.3,42.7
"McNeil, Jeff","643446","2024","446",13.7,6.7,".302",".287",32,2.9,30.8,"96.843134651","92.487627259",16.8,55.7
"Greene, Riley","682985","2024","459",26.1,11.8,".361",".356",38.1,13.2,45.4,"101.811741143","95.3324145",26.3,43
"Kwan, Steven","680757","2024","472",8.7,8.3,".350",".329",37.8,2.6,22.6,"94.949343684","91.475896684",7.5,39.7
"Riley, Austin","663586","2024","469",25.2,7.9,".338",".366",37.2,14.9,53.4,"103.77151961","96.882758664",27.5,50.1
"Contreras, William","661388","2024","565",19.6,10.3,".353",".355",28.8,9.9,49.6,"103.789306853","96.599923715",26.6,47.5
"Gelof, Zack","680869","2024","429",34.7,7.7,".278",".278",34.2,9.5,35.4,"98.449242605","93.344143291",35.7,49.7
